"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"LESOTHO",7.98611111111111,NA,NA,5.1,7,6.16666666666667,7,6,NA,5,4.84285714285714,4,5,3.23333333333333,7.98611111111111,5.1,6.5625,5,4.02539682539683,7.13661706349206
"LIBERIA",8.57142857142857,8.44594594594595,NA,6.2,6,5,7.33333333333333,7,5.7,6,4.57142857142857,4.7,0,4.71111111111111,8.51439101439101,6.2,6.25,3.9,4.66084656084656,7.51989648739649
"LIBYA*",NA,NA,NA,8.5,NA,7.33333333333333,8.16666666666667,NA,NA,NA,5.4,7,2.5,5.95555555555556,NA,8.5,7.75,2.5,6.11851851851852,6.98121693121693
"LIECHTENSTEIN***",4.89795918367347,8.04054054054054,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.466666666666667,6.89157367728796,NA,NA,5,0.466666666666667,6.33714163142735
"LITHUANIA",3.68055555555556,NA,NA,4.3,3,3.5,4.66666666666667,NA,NA,NA,4.22857142857143,1.2,2.5,0.8,3.68055555555556,4.3,3.92857142857143,2.5,2.07619047619048,3.64045634920635
"LUXEMBOURG",5.57823129251701,9.93243243243243,10,2,4,1.5,1.66666666666667,NA,NA,NA,2.01428571428571,NA,5,0.4,7.93319614748186,2,1.92857142857143,5,1.20714285714286,5.95622035300607
"MACAO SAR, CHINA***",4.48979591836735,8.78378378378378,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98905341762485,NA,NA,NA,NA,6.98905341762485
"MACEDONIA",6.52482269503546,NA,NA,5.6,1,3.83333333333333,4.66666666666667,NA,6.5,NA,4.21428571428571,3.2,1.25,4.12222222222222,6.52482269503546,5.6,3.78571428571429,3.875,3.84550264550265,5.75501702690532
"MADAGASCAR**",NA,NA,NA,7.2,5,5.16666666666667,7.33333333333333,7,NA,7,5.58571428571429,6.2,7.5,5.98888888888889,NA,7.2,6.1875,7.25,5.92486772486772,6.59105253212396
"MALAWI",5.90277777777778,NA,NA,6.3,6,3.83333333333333,5.16666666666667,6,4.8,6,4.55714285714286,3.7,7.5,4.47777777777778,5.90277777777778,6.3,4.875,6.1,4.24497354497354,5.71530423280423
"MALAYSIA",3.87755102040816,9.32432432432432,5,5,0,2.66666666666667,2.83333333333333,NA,6.1,NA,3.07142857142857,4.5,7.5,5.46666666666667,6.14514828800543,5,2.35714285714286,6.8,4.34603174603175,5.40521940307655
"MALDIVES*",9.09722222222222,5.13513513513514,NA,NA,10,NA,NA,6,NA,6,NA,NA,2.5,5.16666666666667,7.29627354627355,NA,8,4.25,5.16666666666667,7.12601237601238
"MALI",8.88888888888889,NA,NA,7.2,4,6.5,7.5,6,5.7,5,5.68571428571429,6.5,7.5,5.12222222222222,8.88888888888889,7.2,6.5,6.06666666666667,5.76931216931217,8.06457671957672
"MALTA",2.24489795918367,6.14864864864865,NA,4.4,7,1.83333333333333,2.66666666666667,NA,NA,NA,3.41428571428571,NA,7.5,0.766666666666667,4.01933009075866,4.4,2.92857142857143,7.5,2.09047619047619,3.97137408280265
"MARSHALL ISLANDS",5.51020408163265,8.71621621621622,5,NA,8,NA,NA,7,NA,5,NA,NA,7.5,0.566666666666667,6.66479273622131,NA,7.5,6.25,0.566666666666667,6.44216512430798
"MAURITANIA",6.94444444444445,NA,NA,7,5,7.16666666666667,7.33333333333333,7,NA,7,5.78571428571429,5.5,3.75,6.6,6.94444444444445,7,6.9375,5.375,5.96190476190476,6.82135912698413
"MAURITIUS",5.17006802721088,8.91891891891892,NA,4.8,4,2.5,2.83333333333333,NA,NA,NA,3.45714285714286,2,5,1.55555555555556,6.87409115980545,4.8,2.85714285714286,5,2.33756613756614,5.74360898932327
"MEXICO",4.35374149659864,NA,10,6.6,2,3.66666666666667,4.33333333333333,NA,3.9,NA,4.91428571428571,4.2,2.5,4.25555555555556,5.76530612244898,6.6,3.71428571428571,3.2,4.45661375661376,5.34742252456538
"MICRONESIA*",NA,NA,NA,NA,10,NA,NA,7,NA,6,NA,NA,7.5,0.7,NA,NA,8.5,6.75,0.7,6.59
"MOLDOVA",5.13888888888889,NA,5,6.5,3,4.83333333333333,6.5,5,NA,5,5.37142857142857,3.5,0,3.98888888888889,5.10416666666667,6.5,5.25,2.5,4.28677248677249,5.09454695767196
"MONACO***",5.30612244897959,5.40540540540541,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.05555555555556,5.29721244006958,NA,NA,7.5,1.05555555555556,5.16128781843068
"MONGOLIA",7.01388888888889,NA,5,6.2,4,6,7.16666666666667,7,4.9,5,5.22857142857143,3.7,0,1.78888888888889,6.51041666666667,6.2,6.3125,3.3,3.57248677248677,6.14227017195767
"MONTENEGRO",4.53900709219858,NA,5,5.6,5,4.66666666666667,4.66666666666667,NA,NA,NA,4.05714285714286,3.2,0,2.96666666666667,4.65425531914894,5.6,4.71428571428571,0,3.40793650793651,4.46280563998649
"MOROCCO",6.38297872340426,NA,5,6.3,3,3.83333333333333,4,NA,6.2,NA,4.11428571428571,6.2,2.5,6.08888888888889,6.03723404255319,6.3,3.78571428571429,4.35,5.46772486772487,5.61294551390296
"MOZAMBIQUE",9.07801418439716,NA,NA,7,5,5,6.5,5,5.3,6,5.28571428571429,5.5,2.5,4.27777777777778,9.07801418439716,7,5.5625,4.6,5.02116402116402,7.91614242091636
"MYANMAR*",7.30496453900709,NA,10,7.9,NA,7.83333333333333,8.33333333333333,NA,10,NA,6,8,3.75,7.33333333333333,7.97872340425532,7.9,8.08333333333333,6.875,7.11111111111111,7.88797576832151
"NAMIBIA",7.98611111111111,NA,NA,5.2,5,2.66666666666667,4,NA,4.5,NA,3.97142857142857,2.7,7.5,2.14444444444444,7.98611111111111,5.2,3.57142857142857,6,2.93862433862434,6.69361772486773
"NAURU*",5.74468085106383,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.03333333333333,5.40618955512573,NA,NA,7.5,1.03333333333333,5.25425316999785
"NEPAL",8.65248226950355,NA,NA,6.9,4,5.33333333333333,6,6,5.6,6,5.44285714285714,5.5,2.5,5.26666666666667,8.65248226950355,6.9,5.5,4.7,5.4031746031746,7.64427220533604
"NETHERLANDS",3.94557823129252,7.7027027027027,10,1.7,6,1.83333333333333,3,NA,NA,NA,1.97142857142857,NA,5,0.333333333333333,6.32207560778989,1.7,2.92857142857143,5,1.15238095238095,5.02625390696819
"NEW ZEALAND",3.80952380952381,7.09459459459459,NA,0.9,0,1.33333333333333,2.16666666666667,NA,0.7,NA,1.32857142857143,NA,0,0.6,5.3027378027378,0.9,1.5,0.35,0.964285714285714,3.82749385749386
"NICARAGUA",6.11111111111111,NA,5,7.2,6,4.83333333333333,5,6,5.8,7,4.97142857142857,6,5,4.51111111111111,5.83333333333333,7.2,5.1875,5.93333333333333,5.16084656084656,5.84450066137566
"NIGER",7.84722222222222,NA,NA,6.6,4,NA,NA,6,9.6,6,NA,4,5,4.51111111111111,7.84722222222222,6.6,5,6.86666666666667,4.25555555555556,7.06680555555556
"NIGERIA",7.14285714285714,NA,10,7.5,5,5,5,5,8.4,6,5.6,4.2,2.5,5.03333333333333,7.85714285714286,7.5,5,5.63333333333333,4.94444444444444,7.13603174603174
"NORWAY",3.82978723404255,7.02702702702703,NA,1.4,3,1.5,2.16666666666667,NA,1.7,NA,1.85714285714286,NA,2.5,0.333333333333333,5.2830780490355,1.4,2,2.1,1.0952380952381,4.03376263663498
"OMAN",5.17006802721088,NA,NA,5.3,2,2.33333333333333,2.33333333333333,NA,NA,NA,2.3,7.5,NA,7.36666666666667,5.17006802721088,5.3,2.28571428571429,NA,5.72222222222222,4.75738154911087
"PAKISTAN",6.12244897959184,NA,10,7.2,4,4.33333333333333,4.16666666666667,5,4.2,7,5.38571428571429,7,3.75,6.02222222222222,7.09183673469388,7.2,4.3125,4.98333333333333,6.13597883597884,6.53253448601663
"PALAU*",6.66666666666667,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,5,0.5,6.66666666666667,NA,10,5,0.5,6.78703703703704
"PANAMA",3.26530612244898,9.39189189189189,10,6.5,6,2.83333333333333,3.83333333333333,NA,NA,NA,4.32857142857143,4.5,2.5,2.77777777777778,6.65779201493487,6.5,3.71428571428571,2.5,3.86878306878307,5.85314682028968
"PAPUA NEW GUINEA",7.48299319727891,5,NA,7.5,5,NA,NA,6,4.4,6,NA,4.5,2.5,3.18888888888889,6.3543599257885,7.5,5.5,4.3,3.84444444444444,6.11255617398474
"PARAGUAY",8.40277777777778,NA,10,7.6,4,5,5.16666666666667,NA,NA,NA,5.84285714285714,4.5,2.5,4.18888888888889,8.80208333333333,7.6,4.92857142857143,2.5,4.84391534391534,7.58783564814815
"PERU",4.42176870748299,NA,5,6.2,1,3.5,4.33333333333333,NA,4.3,NA,5.2,3.7,0,3.13333333333333,4.56632653061225,6.2,3.5,2.15,4.01111111111111,4.42116780045351
"PHILIPPINES",5.78231292517007,7.83783783783784,10,6.4,8,3,3.66666666666667,NA,5.2,NA,4.62857142857143,3.5,5,3.68888888888889,7.22177436463151,6.4,4,5.1,3.93915343915344,6.38611100896815
"POLAND",4.16666666666667,NA,5,4,3,3.33333333333333,3.5,NA,4.1,NA,4.12857142857143,0.699999999999999,0,0.9,4.375,4,3.35714285714286,2.05,1.90952380952381,3.94529761904762
"PORTUGAL",3.40277777777778,5.81081081081081,5,3.8,4,3.66666666666667,4.33333333333333,NA,3.8,NA,4.27142857142857,NA,0,0.6,4.57467082467082,3.8,4,1.9,2.43571428571429,4.17032175032175
"PUERTO RICO*",NA,NA,NA,3.8,3,1.66666666666667,2.5,NA,NA,NA,3.28571428571429,NA,NA,0.833333333333333,NA,3.8,2.21428571428571,NA,2.05952380952381,2.71706349206349
"QATAR",6.73469387755102,NA,5,3.2,5,1.5,2,NA,10,NA,1.5,6,NA,7.23333333333333,6.30102040816326,3.2,2.21428571428571,10,4.91111111111111,5.49336167800453
"ROMANIA",4.72222222222222,NA,5,5.7,1,5,6,NA,5.3,NA,5.22857142857143,2.5,0,2.47777777777778,4.79166666666667,5.7,4.85714285714286,2.65,3.4021164021164,4.71576058201058
"RUSSIA",4.25531914893617,8.58108108108108,10,7.2,4,5,5.66666666666667,NA,2.6,NA,5.31428571428571,5.7,0,7.7,6.80287079223249,7.2,5.14285714285714,1.3,6.23809523809524,6.29019934828445
"RWANDA**",NA,NA,NA,4.7,3,3.83333333333333,4.83333333333333,5,9.2,5,2.57142857142857,6,7.5,7.63333333333333,NA,4.7,4.25,7.23333333333333,5.4015873015873,4.96927437641723
"SAMOA*",7.2108843537415,5.33783783783784,NA,NA,5,NA,NA,4,NA,4,NA,NA,7.5,2.07777777777778,6.35949957378529,NA,4.5,5.75,2.07777777777778,5.77784845761036
"SAN MARINO*",4.28571428571429,5.87837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.533333333333333,5.00965250965251,NA,NA,5,0.533333333333333,4.71058773058773
"SAO TOME AND PRINCIPE*",8.26388888888889,NA,NA,5.8,7,NA,NA,7,7.1,5,NA,NA,1.25,2.04444444444444,8.26388888888889,5.8,7,4.45,2.04444444444444,7.32625
"SAUDI ARABIA",4.62585034013605,8.17567567567568,5,5.4,1,2.33333333333333,3.16666666666667,NA,9.9,NA,2.67142857142857,7,NA,9.43333333333333,6.04872926301498,5.4,2.5,9.9,6.36825396825397,5.66008671937243
"SENEGAL",5.65217391304348,NA,5,5.9,4,4.16666666666667,5.83333333333333,5,9,5,4.72857142857143,3.5,7.5,2.71111111111111,5.48913043478261,5.9,4.875,7.16666666666667,3.64656084656085,5.42984615827007
"SERBIA",5.41666666666667,NA,5,5.8,3,5.16666666666667,6.33333333333333,NA,6.1,NA,5.42857142857143,2.7,0,2.34444444444444,5.3125,5.8,5.35714285714286,3.05,3.49100529100529,5.16374669312169
"SEYCHELLES",7.70833333333333,8.37837837837838,5,4.6,6,3.66666666666667,4.5,NA,NA,NA,3.81428571428571,NA,5,3.95555555555556,7.5493762993763,4.6,4.35714285714286,5,3.88492063492063,6.46491205491206
"SIERRA LEONE",8.88888888888889,NA,5,7,4,5,6.33333333333333,6,6.1,6,4.82857142857143,4.5,0,3.85555555555556,7.91666666666667,7,5.5,4.03333333333333,4.39470899470899,7.09223544973545
"SINGAPORE",3.12925170068027,9.72972972972973,10,1.4,0,1.33333333333333,1.83333333333333,NA,NA,NA,1.37142857142857,4,1.25,5.56666666666667,6.72493529636387,1.4,1.35714285714286,1.25,3.64603174603175,4.95958095850953
"SLOVAKIA",4.86111111111111,NA,5,5.3,7,3.66666666666667,5.33333333333333,NA,3.3,NA,5.25714285714286,1.5,2.5,0.766666666666667,4.89583333333333,5.3,4.85714285714286,2.9,2.50793650793651,4.71125992063492
"SLOVENIA",3.05555555555556,NA,NA,4.3,5,4.16666666666667,5.16666666666667,NA,2.6,NA,4.37142857142857,1,0,0.8,3.05555555555556,4.3,4.71428571428571,1.3,2.05714285714286,3.29111111111111
"SOLOMON ISLANDS*",5.76388888888889,NA,NA,NA,7,NA,NA,6,NA,6,NA,NA,7.5,3.71111111111111,5.76388888888889,NA,6.5,6.75,3.71111111111111,5.82731481481482
"SOMALIA*",NA,NA,10,9.2,NA,NA,NA,NA,NA,NA,NA,9,NA,9.4,10,9.2,NA,NA,9.2,9.85
"SOUTH AFRICA",4.96598639455782,7.90540540540541,5,5.8,2,0.5,0.666666666666667,NA,1,NA,3.52857142857143,2.7,5,2.21111111111111,6.10176503033646,5.8,0.785714285714286,3,2.81322751322751,4.95466578823722
"SPAIN",3.90070921985816,6.62162162162162,10,4.1,5,4.33333333333333,5.16666666666667,NA,3.7,NA,4.18571428571429,NA,5,0.933333333333333,5.88556641748131,4.1,4.78571428571429,4.35,2.55952380952381,5.29895150469619
"SRI LANKA",7.2108843537415,NA,NA,6.3,4,3.16666666666667,3.66666666666667,4,5.4,6,4.15714285714286,7,5,6.42222222222222,7.2108843537415,6.3,3.5625,5.46666666666667,5.85978835978836,6.41777258125472
"ST. KITTS AND NEVIS***",5.57823129251701,5.06756756756757,5,NA,6,NA,NA,NA,NA,NA,NA,NA,7.5,0.666666666666667,5.29286350714922,NA,6,7.5,0.666666666666667,5.27632734775592
"ST. LUCIA",8.63945578231293,6.08108108108108,5,2.9,6,NA,NA,5,NA,3,NA,NA,7.5,0.5,7.09554923840638,2.9,5.5,5.25,0.5,6.01460700496415
"ST. VINCENT AND THE GRENADINES",5.85034013605442,6.28378378378378,5,3.8,6,NA,NA,5,NA,4,NA,NA,7.5,0.566666666666667,5.88622767194196,3.8,5.5,5.75,0.566666666666667,5.34688132009561
"SUDAN****",7.56944444444445,NA,NA,8.9,10,NA,NA,7,NA,9,NA,7.7,0,9.36666666666667,7.56944444444445,8.9,8.5,4.5,8.53333333333333,7.73680555555556
"SURINAME",8.125,NA,5,6.4,9,5.33333333333333,6.66666666666667,NA,NA,NA,4.94285714285714,NA,0,2.04444444444444,7.34375,6.4,6.42857142857143,0,3.49365079365079,6.55240575396825
"SWAZILAND",9.02777777777778,NA,NA,6.1,8,3.66666666666667,5.33333333333333,NA,NA,NA,4.52857142857143,NA,7.5,8.15555555555556,9.02777777777778,6.1,5,7.5,6.34206349206349,7.92015873015873
"SWEDEN",4.68085106382979,5.67567567567568,NA,1.1,2,1.83333333333333,2.5,NA,1.6,NA,1.82857142857143,NA,6.25,0.333333333333333,5.13304406921428,1.1,2.14285714285714,3.925,1.08095238095238,4.01820483546547
"SWITZERLAND",3.88888888888889,10,10,1.5,10,2.33333333333333,2.66666666666667,NA,NA,NA,1.95714285714286,NA,7.5,0.4,7.17948717948718,1.5,3.57142857142857,7.5,1.17857142857143,5.78630952380952
"SYRIA*",5.95744680851064,NA,5,8.3,3,NA,NA,NA,NA,NA,NA,8.5,7.5,9.63333333333333,5.71808510638298,8.3,3,7.5,9.06666666666667,5.82508865248227
"TAIWAN, CHINA",4.96598639455782,NA,10,3.9,1,2.33333333333333,2.66666666666667,NA,NA,NA,2.92857142857143,0,5,1.42222222222222,6.22448979591837,3.9,2.28571428571429,5,1.45026455026455,5.10128873771731
"TAJIKISTAN",9.34782608695652,NA,NA,7.8,2,5.5,6.33333333333333,8,8.3,7,NA,7,0,8.22222222222222,9.34782608695652,7.8,5.6875,5.1,7.61111111111111,8.34476751207729
"TANZANIA",8.63945578231293,NA,5,6.7,7,5.5,5.83333333333333,4,5.3,6,4.92857142857143,4.5,5,4.05555555555556,7.72959183673469,6.7,5.625,5.43333333333333,4.49470899470899,7.03438681027967
"THAILAND",7.01388888888889,NA,10,6.5,0,3.16666666666667,3.33333333333333,NA,6.4,NA,4.58571428571429,5.5,0,5.46666666666667,7.76041666666667,6.5,2.78571428571429,3.2,5.18412698412698,6.53133432539683
"TIMOR-LESTE (East Timor)",5.72463768115942,NA,NA,7,7,7,7.5,7,6.4,7,5.15714285714286,NA,5,3.94444444444444,5.72463768115942,7,7.1875,6.13333333333333,4.55079365079365,6.03334584195997
"TOGO",7.77777777777778,NA,NA,7.1,4,NA,NA,7,NA,7,NA,5.7,0,5.5,7.77777777777778,7.1,5.5,3.5,5.6,7.04555555555556
"TONGA*",7.63888888888889,NA,NA,NA,7,NA,NA,5,NA,5,NA,NA,7.5,2.07777777777778,7.63888888888889,NA,6,6.25,2.07777777777778,6.97962962962963
"TRINIDAD AND TOBAGO",8.05555555555556,NA,5,6.2,6,4.66666666666667,5,NA,6.2,NA,4.88571428571429,NA,5,1.94444444444444,7.29166666666667,6.2,5,5.6,3.41507936507937,6.5603373015873
"TUNISIA*",5.13888888888889,NA,NA,5.9,5,4.16666666666667,4.83333333333333,NA,8.9,NA,4.5,5,0,3.98888888888889,5.13888888888889,5.9,4.57142857142857,4.45,4.4962962962963,5.06330687830688
"TURKEY",6.18055555555556,NA,10,5,1,3.33333333333333,3.5,NA,5,NA,4.17142857142857,2.7,7.5,4.84444444444444,7.13541666666667,5,3.07142857142857,6.25,3.90529100529101,6.10649966931217
"TURKMENISTAN*",5.74468085106383,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,7.7,7.5,9.83333333333333,5.74468085106383,8.3,NA,7.5,8.76666666666667,6.32632457238214
"TURKS AND CAICOS ISLANDS***",6.59863945578231,6.21621621621622,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20560906275192,NA,NA,NA,NA,6.20560906275192
"UGANDA",8.88888888888889,NA,NA,7.4,8,5.33333333333333,5.5,5,3.5,8,5.24285714285714,3.7,1.25,6.37777777777778,8.88888888888889,7.4,5.6875,4.25,5.10687830687831,7.83874669312169
"UKRAINE",5.88652482269504,NA,10,7.5,5,5.5,6.83333333333333,NA,4.6,NA,5.72857142857143,5,1.25,4.87777777777778,6.91489361702128,7.5,6,2.925,5.2021164021164,6.55103667116965
"UNITED ARAB EMIRATES",5.71428571428571,9.12162162162162,10,3.1,4,2.66666666666667,2.83333333333333,NA,NA,NA,2.14285714285714,5.7,NA,8.08888888888889,7.68414018414018,3.1,2.92857142857143,NA,5.31058201058201,6.32579572053256
"UNITED KINGDOM",2.7891156462585,8.85135135135135,10,2.4,0,2,3,NA,1.2,NA,2.24285714285714,NA,0,0.766666666666667,6.23011158725444,2.4,2.14285714285714,0.6,1.5047619047619,4.71623919838206
"UNITED STATES",2.99319727891156,9.66216216216216,10,2.7,3,2.83333333333333,3.33333333333333,NA,2.1,NA,3.37142857142857,NA,0,0.7,6.63615342186771,2.7,3.07142857142857,1.05,2.03571428571429,5.19849972421401
"URUGUAY",3.53741496598639,8.24324324324324,10,2.7,7,4,4.33333333333333,NA,NA,NA,3.4,0,0,0.0666666666666667,6.3415927701642,2.7,4.57142857142857,0,1.15555555555556,5.13552736409879
"UZBEKISTAN",4.46808510638298,NA,NA,8.3,6,NA,NA,6,NA,8,NA,7.7,5,9.83333333333333,4.46808510638298,8.3,6,6.5,8.76666666666667,5.39758865248227
"VANUATU",6.66666666666667,7.2972972972973,5,NA,5,NA,NA,6,NA,5,NA,NA,7.5,1.94444444444444,6.65280665280665,NA,5.5,6.25,1.94444444444444,6.17671838505172
"VENEZUELA",5.98639455782313,NA,10,8,7,4.66666666666667,6.16666666666667,NA,6.3,NA,6.75714285714286,6.7,5,7.04444444444444,6.98979591836735,8,5.64285714285714,5.65,6.83386243386243,6.81398904006047
"VIETNAM",7.5886524822695,NA,5,6.9,3,6,6.33333333333333,6,8.1,6,4.94285714285714,7.5,NA,8.35555555555556,6.94148936170213,6.9,5.75,7.05,6.93280423280423,6.76360829674659
"VIRGIN ISLANDS (U.K.)***",2.38095238095238,6.48648648648649,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13216513216513,NA,NA,NA,NA,5.13216513216513
"YEMEN",8.15602836879433,NA,5,8.2,4,7.16666666666667,9.16666666666667,8,8.9,8,6,6.7,7.5,8.08888888888889,7.36702127659574,8.2,7.625,8.13333333333333,6.92962962962963,7.50546197793538
"ZAMBIA",8.43537414965986,NA,NA,6.2,7,4,4.33333333333333,5,9.6,6,4,4.5,7.5,4.81111111111111,8.43537414965986,6.2,4.625,7.7,4.43703703703704,7.40359504913076
"ZIMBABWE",6.66666666666667,NA,10,7.9,2,3,4.83333333333333,8,8,9,5,6.5,7.5,7.43333333333333,7.5,7.9,4.1875,8.16666666666667,6.31111111111111,7.01701388888889
